Keyword,Synonym 1,Synonym 2,Synonym 3,Synonym 4,Synonym 5
Textilindustrie,Bekleidungsindustrie,Textilherstellung,Bekleidungsherstellung,Textilproduktion,Bekleidungsfertigung
Papierfabrik,Papierherstellung,Papierindustrie,Zellstoffproduktion,Papierproduktion,Papierverarbeitung
Holzverarbeitung,Holzindustrie,Sägewerk,Holzbearbeitung,Holzhandel,Holzfertigung
Metallverarbeitung,Metallindustrie,Stahlbau,Metallbearbeitung,Metallfertigung,Schweißtechnik
Glasherstellung,Glasindustrie,Glasproduktion,Glasfabrik,Glasverarbeitung,Glaswerke
Keramikherstellung,Keramikindustrie,Keramikproduktion,Keramikfabrik,Tonwarenherstellung,Porzellanherstellung
Gummiherstellung,Gummiindustrie,Gummiproduktion,Gummiwarenfabrik,Kautschukverarbeitung,Gummiverarbeitung
Elektronikherstellung,Elektronikindustrie,Elektronikproduktion,Elektrogeräteherstellung,Elektronikfertigung,Elektronikwarenproduktion
Kraftfahrzeugherstellung,Automobilindustrie,Autoproduktion,Fahrzeugbau,Automobilherstellung,Autofabrik
Luft- und Raumfahrt,Luftfahrtindustrie,Raumfahrttechnik,Flugzeugbau,Aerospace,Luftfahrttechnik
Schiffbau,Schiffswerft,Marinetechnik,Schiffsproduktion,Schiffstechnik,Schiffsindustrie
Möbelherstellung,Möbelindustrie,Möbelproduktion,Möbelfabrik,Möbeldesign,Möbelfertigung
Medizintechnik,Medizinische Geräte,Medizinprodukte,Healthcare Technology,Medizinausrüstung,Gesundheitstechnologie
Spielzeugherstellung,Spielwarenproduktion,Spielzeugindustrie,Spieleherstellung,Kinderspielwaren,Spielzeugfabrik
Musikinstrumentenbau,Instrumentenbau,Musikinstrumentenherstellung,Instrumentenfertigung,Musikinstrumentenindustrie,Instrumentenbauer
Schuhherstellung,Schuhindustrie,Schuhproduktion,Schuhfabrik,Schuhfertigung,Schuhmanufaktur
Bekleidungsherstellung,Textilfertigung,Kleidungsproduktion,Kleidungsfabrik,Bekleidungsfabrik,Kleidungsfertigung
Forschung und Entwicklung,Innovation,Research and Development,F&E,Laborforschung,Technologieentwicklung
Umwelttechnik,Umweltschutztechnik,Recyclingtechnik,Abwassertechnik,Erneuerbare Energien,Nachhaltigkeitstechnik
Energieversorgung,Stromversorgung,Gasanbieter,Energieerzeugung,Energieunternehmen,Energiedienstleister
Wasserversorgung,Wasserwirtschaft,Wasseraufbereitung,Wasserwerke,Trinkwasserversorgung,Wasserdienstleister
Abfallwirtschaft,Entsorgung,Recycling,Abfallentsorgung,Müllentsorgung,Wertstoffsammlung
Verkehrsbetrieb,Öffentlicher Nahverkehr,Busunternehmen,Bahngesellschaft,Verkehrsdienstleister,Personenverkehr
Lagerlogistik,Lagerhaltung,Logistikzentrum,Distributionszentrum,Lagerdienstleistung,Logistikdienstleister
Postdienstleister,Briefdienst,Kurierdienst,Postservice,Paketdienst,Postzustellung
Telekommunikationsdienstleister,Telefonanbieter,Internetdienstleister,Netzbetreiber,Kommunikationsanbieter,Telekomunternehmen
Bankwesen,Bank,Bankinstitut,Kreditinstitut,Geldinstitut,Finanzinstitut
Versicherungsgesellschaft,Versicherungsunternehmen,Assekuranz,Versicherungsdienstleister,Versicherungskonzern,Versicherer
Immobiliengesellschaft,Immobilienunternehmen,Bauträger,Immobilienentwicklung,Projektentwicklung,Immobilieninvestment
Rechtsberatung,Anwaltskanzlei,Juristische Beratung,Rechtsdienstleistung,Rechtsanwalt,Anwaltspraxis
Steuerberatungsgesellschaft,Wirtschaftsprüfung,Buchprüfung,Finanzberatung,Steuerkanzlei,Steuerdienstleistung
Unternehmensberatung,Beratungsgesellschaft,Managementberatung,Business Consulting,Consultingfirma,Beratungsunternehmen
Werbedienstleister,Werbeunternehmen,Marketingdienstleister,Marketingunternehmen,Werbeagentur,Kommunikationsagentur
Marktforschung,Meinungsforschung,Marktanalyse,Marketingforschung,Umfrageinstitut,Marktforschungsinstitut
Forschungseinrichtung,Forschungsinstitut,Labor,Laboratorium,Forschungszentrum,Wissenschaftliches Institut
Schulen,Bildungseinrichtung,Grundschule,Gymnasium,Förderschule,Bildungsinstitut
Hochschule,Universität,Fachhochschule,Akademie,Bildungsstätte,Hochschulinstitut
Krankenhaus,Hospital,Klinik,Medizinisches Zentrum,Universitätsklinik,Medizinische Einrichtung
Altenpflegeheim,Pflegeheim,Seniorenresidenz,Seniorenheim,Altenheim,Pflegeeinrichtung
Kindertagesstätte,Kita,Kindergarten,Tagesbetreuung,Kindereinrichtung,Krippe
Theaterbetrieb,Bühnenbetrieb,Bühnenhaus,Opernhaus,Schauspielhaus,Theaterhaus
Filmverleih,Kino,Kinobetrieb,Lichtspielhaus,Filmtheater,Kinoservice
Sportanlage,Sportstätte,Sportzentrum,Trainingszentrum,Sportplatz,Sportarena
Freizeitpark,Vergnügungspark,Erlebnispark,Freizeitzentrum,Freizeiteinrichtung,Freizeitattraktion
Tourismusdienstleister,Reiseveranstalter,Touristikunternehmen,Touristinformation,Touristikdienstleister,Tourismusunternehmen
Reinigungsmittelhersteller,Putzmittelhersteller,Reinigungschemikalienhersteller,Hygieneartikelhersteller,Waschmittelhersteller,Reinigungsproduktehersteller
Spielbank,Casino,Gambling,Spielhalle,Glücksspielbetrieb,Spielkasino
Lotterieunternehmen,Lottogesellschaft,Glücksspielanbieter,Tombola,Lotterieveranstalter,Lottoanbieter
Seefahrt,Schifffahrt,Reederei,Schiffsverkehr,Seetransport,Schiffsunternehmen
Luftfahrtgesellschaft,Airline,Fluggesellschaft,Fluglinie,Luftverkehrsunternehmen,Flugdienst
Bildungszentrum,Weiterbildungsinstitut,Erwachsenenbildung,Bildungseinrichtung,Bildungsakademie,Fortbildungszentrum
Forschungslabor,Laboratorium,Forschungsstätte,Forschungszentrum,Laborinstitut,Wissenschaftslabor
Werkstatt,Kfz-Werkstatt,Reparaturwerkstatt,Servicewerkstatt,Fahrzeugservice,Werkstattbetrieb
Tankstellenbetrieb,Tankstellenservice,Tankstellenunternehmen,Raststätte,Kraftstoffservice,Tankstellenkette
Veranstaltungsdienstleister,Eventdienstleister,Veranstaltungsservice,Eventservice,Eventausstattung,Veranstaltungstechnik
Medienunternehmen,Medienhaus,Rundfunkanstalt,Fernsehsender,Hörfunksender,Medienkonzern
Nachrichtenagentur,Presseagentur,News Agency,Pressedienst,Pressebüro,Nachrichtendienst
